origin_id,destination_id,time
12TH,19TH,2
12TH,LAKE,3
16TH,CIVC,2
19TH,MCAR,4
19TH,12TH,2
24TH,16TH,2
ASHB,DBRK,2
ASHB,MCAR,6
BALB,GLEN,3
BAYF,HAYW,4
BAYF,CAST,4
CAST,WDUB,10
CIVC,POWL,2
COLM,DALY,3
COLS,OAKL,8
COLS,SANL,4
CONC,NCON,3
DALY,BALB,4
DBRK,NBRK,3
DBRK,ASHB,3
DELN,RICH,4
DELN,PLZA,3
EMBR,WOAK,7
FRMT,WARM,6
FTVL,COLS,3
GLEN,24TH,3
HAYW,SHAY,4
LAFY,WCRK,5
LAKE,FTVL,4
MCAR,ASHB,3
MCAR,19TH,3
MCAR,ROCK,2
MLBR,SBRN,4
MLPT,BERY,5
MLPT,BERY,4
MONT,EMBR,1
NBRK,PLZA,3
NBRK,DBRK,2
NCON,PITT,7
ORIN,LAFY,5
PCTR,ANTC,8
PHIL,CONC,6
PITT,PCTR,9
PLZA,DELN,3
PLZA,NBRK,3
POWL,MONT,1
RICH,DELN,5
ROCK,ORIN,7
SANL,BAYF,5
SBRN,SSAN,3
SFIA,MLBR,7
SFIA,SBRN,4
SHAY,UCTY,5
SSAN,COLM,4
UCTY,FRMT,4
WARM,MLPT,8
WCRK,PHIL,2
WDUB,DUBL,3
WOAK,12TH,4
WOAK,LAKE,6
